timestamp_utc,temperature_c,pressure_hpa,humidity_percent
2025-12-21T19:02:57+00:00,5.40,1005.08,89.08
2025-12-21T19:03:12+00:00,5.39,1005.11,89.08
2025-12-21T19:03:27+00:00,5.38,1005.13,89.10
2025-12-21T19:03:42+00:00,5.38,1005.08,89.10
2025-12-21T19:03:57+00:00,5.38,1005.07,89.12
2025-12-21T19:04:12+00:00,5.38,1005.07,89.13
2025-12-21T19:04:27+00:00,5.38,1005.08,89.14
2025-12-21T19:04:42+00:00,5.39,1005.06,89.16
2025-12-21T19:04:57+00:00,5.39,1005.11,89.17
2025-12-21T19:05:12+00:00,5.38,1005.05,89.19
2025-12-21T19:05:27+00:00,5.37,1005.09,89.19
2025-12-21T19:05:42+00:00,5.37,1005.03,89.21
2025-12-21T19:05:57+00:00,5.38,1005.04,89.26
2025-12-21T19:06:12+00:00,5.38,1005.10,89.28
2025-12-21T19:06:27+00:00,5.38,1005.12,89.29
2025-12-21T19:06:42+00:00,5.38,1005.07,89.30
2025-12-21T19:06:57+00:00,5.38,1005.07,89.31
2025-12-21T19:07:12+00:00,5.38,1005.12,89.33
2025-12-21T19:07:27+00:00,5.38,1005.10,89.33
2025-12-21T19:07:42+00:00,5.37,1005.06,89.34
2025-12-21T19:07:57+00:00,5.37,1005.09,89.34
2025-12-21T19:08:12+00:00,5.37,1005.08,89.34
2025-12-21T19:08:27+00:00,5.38,1005.10,89.36
2025-12-21T19:08:42+00:00,5.38,1005.15,89.36
2025-12-21T19:08:57+00:00,5.37,1005.16,89.37
2025-12-21T19:09:12+00:00,5.36,1005.12,89.37
2025-12-21T19:09:27+00:00,5.36,1005.10,89.37
2025-12-21T19:09:42+00:00,5.36,1005.17,89.31
2025-12-21T19:09:57+00:00,5.35,1005.11,89.32
2025-12-21T19:10:12+00:00,5.35,1005.15,89.26
2025-12-21T19:10:27+00:00,5.34,1005.15,89.34
2025-12-21T19:10:42+00:00,5.35,1005.15,89.39
2025-12-21T19:10:57+00:00,5.35,1005.16,89.43
2025-12-21T19:11:12+00:00,5.36,1005.15,89.47
2025-12-21T19:11:27+00:00,5.36,1005.15,89.50
2025-12-21T19:11:42+00:00,5.36,1005.09,89.52
2025-12-21T19:11:57+00:00,5.37,1005.13,89.57
2025-12-21T19:12:12+00:00,5.38,1005.10,89.60
2025-12-21T19:12:27+00:00,5.38,1005.15,89.60
2025-12-21T19:12:42+00:00,5.38,1005.16,89.61
2025-12-21T19:12:57+00:00,5.39,1005.17,89.65
2025-12-21T19:13:12+00:00,5.39,1005.22,89.66
2025-12-21T19:13:27+00:00,5.38,1005.10,89.70
2025-12-21T19:13:42+00:00,5.39,1005.14,89.72
2025-12-21T19:13:57+00:00,5.40,1005.13,89.74
2025-12-21T19:14:12+00:00,5.40,1005.16,89.75
2025-12-21T19:14:27+00:00,5.39,1005.11,89.74
2025-12-21T19:14:42+00:00,5.39,1005.09,89.76
2025-12-21T19:14:57+00:00,5.39,1005.14,89.76
2025-12-21T19:15:12+00:00,5.39,1005.17,89.74
2025-12-21T19:15:27+00:00,5.38,1005.16,89.74
2025-12-21T19:15:42+00:00,5.38,1005.18,89.75
2025-12-21T19:15:57+00:00,5.37,1005.14,89.75
2025-12-21T19:16:12+00:00,5.37,1005.16,89.76
2025-12-21T19:16:27+00:00,5.36,1005.15,89.76
2025-12-21T19:16:42+00:00,5.36,1005.28,89.77
2025-12-21T19:16:57+00:00,5.36,1005.14,89.76
2025-12-21T19:17:12+00:00,5.34,1005.17,89.74
2025-12-21T19:17:27+00:00,5.35,1005.15,89.74
2025-12-21T19:17:42+00:00,5.33,1005.17,89.73
2025-12-21T19:17:57+00:00,5.32,1005.19,89.73
2025-12-21T19:18:12+00:00,5.32,1005.27,89.74
2025-12-21T19:18:27+00:00,5.31,1005.11,89.73
2025-12-21T19:18:42+00:00,5.32,1005.16,89.73
2025-12-21T19:18:57+00:00,5.31,1005.19,89.73
2025-12-21T19:19:12+00:00,5.31,1005.19,89.72
2025-12-21T19:19:27+00:00,5.29,1005.12,89.75
2025-12-21T19:19:42+00:00,5.30,1005.19,89.74
2025-12-21T19:19:57+00:00,5.29,1005.18,89.76
2025-12-21T19:20:12+00:00,5.28,1005.15,89.74
2025-12-21T19:20:27+00:00,5.28,1005.13,89.77
2025-12-21T19:20:42+00:00,5.29,1005.20,89.77
2025-12-21T19:20:57+00:00,5.27,1005.19,89.76
2025-12-21T19:21:12+00:00,5.26,1005.18,89.75
2025-12-21T19:21:27+00:00,5.26,1005.18,89.74
2025-12-21T19:21:42+00:00,5.26,1005.18,89.74
2025-12-21T19:21:57+00:00,5.25,1005.25,89.71
2025-12-21T19:22:12+00:00,5.24,1005.20,89.71
2025-12-21T19:22:27+00:00,5.23,1005.21,89.70
2025-12-21T19:22:42+00:00,5.23,1005.26,89.70
2025-12-21T19:22:57+00:00,5.22,1005.20,89.69
2025-12-21T19:23:12+00:00,5.21,1005.21,89.66
2025-12-21T19:23:27+00:00,5.20,1005.30,89.60
2025-12-21T19:23:42+00:00,5.18,1005.21,89.62
2025-12-21T19:23:57+00:00,5.20,1005.22,89.68
2025-12-21T19:24:12+00:00,5.21,1005.25,89.72
2025-12-21T19:24:27+00:00,5.21,1005.22,89.74
2025-12-21T19:24:42+00:00,5.20,1005.21,89.78
2025-12-21T19:24:57+00:00,5.21,1005.28,89.81
2025-12-21T19:25:12+00:00,5.21,1005.31,89.84
2025-12-21T19:25:27+00:00,5.21,1005.23,89.84
